;clone;treatment;replicate;bryo_status;jq1_status
J2.Un1_mock_1;JLEG2.Un1;mock;1;untreat;untreat
J2.Un1_mock_2;JLEG2.Un1;mock;2;untreat;untreat
J2.Un1_mock_3;JLEG2.Un1;mock;3;untreat;untreat
J2.Un1_bryo_1;JLEG2.Un1;bryo;1;treat;untreat
J2.Un1_bryo_2;JLEG2.Un1;bryo;2;treat;untreat
J2.Un1_bryo_3;JLEG2.Un1;bryo;3;treat;untreat
J2.Un1_jq1_1;JLEG2.Un1;jq1;1;untreat;treat
J2.Un1_jq1_2;JLEG2.Un1;jq1;2;untreat;treat
J2.Un1_jq1_3;JLEG2.Un1;jq1;3;untreat;treat
J2.Un1_bryo.jq1_1;JLEG2.Un1;bryo.jq1;1;treat;treat
J2.Un1_bryo.jq1_2;JLEG2.Un1;bryo.jq1;2;treat;treat
J2.Un1_bryo.jq1_3;JLEG2.Un1;bryo.jq1;3;treat;treat
J2.1_mock_1;JLEG2.1;mock;1;untreat;untreat
J2.1_mock_2;JLEG2.1;mock;2;untreat;untreat
J2.1_mock_3;JLEG2.1;mock;3;untreat;untreat
J2.1_bryo_1;JLEG2.1;bryo;1;treat;untreat
J2.1_bryo_2;JLEG2.1;bryo;2;treat;untreat
J2.1_bryo_3;JLEG2.1;bryo;3;treat;untreat
J2.1_jq1_1;JLEG2.1;jq1;1;untreat;treat
J2.1_jq1_2;JLEG2.1;jq1;2;untreat;treat
J2.1_bryo.jq1_1;JLEG2.1;bryo.jq1;1;treat;treat
J2.1_jq1_3;JLEG2.1;jq1;3;untreat;treat
J2.1_bryo.jq1_2;JLEG2.1;bryo.jq1;2;treat;treat
J2.1_bryo.jq1_3;JLEG2.1;bryo.jq1;3;treat;treat
